Generating SQLite file D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.sqlite from D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.nsys-rep
Processing [D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.3.1\host-windows-x64\reports\nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)   Style              Range           
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -------  ---------------------------
     31.1      26109715405          1  26109715405.0  26109715405.0  26109715405  26109715405          0.0  PushPop  Full Experiment            
     20.1      16823211684         60    280386861.4    249425301.5    226251248    566524711   73195118.3  PushPop  Client Update              
      6.7       5590840205          1   5590840205.0   5590840205.0   5590840205   5590840205          0.0  PushPop  Profiling Rounds 4-5       
      3.8       3193997920          1   3193997920.0   3193997920.0   3193997920   3193997920          0.0  PushPop  Round 1                    
      3.5       2909698780          1   2909698780.0   2909698780.0   2909698780   2909698780          0.0  PushPop  Round 3                    
      3.4       2888021136          1   2888021136.0   2888021136.0   2888021136   2888021136          0.0  PushPop  Round 5                    
      3.2       2721353474          1   2721353474.0   2721353474.0   2721353474   2721353474          0.0  PushPop  Round 6                    
      3.2       2702801285          1   2702801285.0   2702801285.0   2702801285   2702801285          0.0  PushPop  Round 4                    
      3.1       2630230580          1   2630230580.0   2630230580.0   2630230580   2630230580          0.0  PushPop  Round 2                    
      2.3       1890638218          6    315106369.7    269266523.0    234302335    567396250  128791348.6  PushPop  Client 0                   
      2.2       1823789617          6    303964936.2    252623547.0    232085800    529036940  113328833.0  PushPop  Client 2                   
      2.2       1804510661          6    300751776.8    244596672.5    235106753    541090991  120417259.3  PushPop  Client 4                   
      2.1       1782370761          6    297061793.5    276801384.5    228599778    457982382   85668469.2  PushPop  Client 1                   
      2.0       1646670189          6    274445031.5    276305699.5    235262855    316415135   36958737.1  PushPop  Client 3                   
      1.9       1611048411          6    268508068.5    252373191.5    243490575    315955915   32372118.4  PushPop  Client 7                   
      1.9       1604524585          6    267420764.2    248569178.0    234845477    319249876   38813457.5  PushPop  Client 6                   
      1.9       1594473093          6    265745515.5    250169257.5    240208977    305899354   29891593.1  PushPop  Client 9                   
      1.9       1567966202          6    261327700.3    257886808.0    226973157    298373684   31464885.6  PushPop  Client 8                   
      1.8       1544882595          6    257480432.5    235800407.0    229238455    309661101   38447925.8  PushPop  Client 5                   
      0.8        640223442          1    640223442.0    640223442.0    640223442    640223442          0.0  PushPop  NCCL:ncclGroupEnd          
      0.7        597361730          1    597361730.0    597361730.0    597361730    597361730          0.0  PushPop  NCCL:ncclCommAbort         
      0.2        161227183          6     26871197.2     25449406.0     24923042     34499233    3756223.7  PushPop  Model Evaluation           
      0.0         37259079          2     18629539.5     18629539.5       564824     36694255   25547365.7  PushPop  cuBLAS:cublasCreate_v2     
      0.0          6285156          1      6285156.0      6285156.0      6285156      6285156          0.0  PushPop  NCCL:ncclCommInitRankConfig
      0.0          6138125       2102         2920.1         1984.0         1673        24327       2362.7  PushPop  NCCL:ncclAllReduce         
      0.0          3491305          6       581884.2       541449.0       513806       804489     110677.0  PushPop  Model Aggregation          
      0.0            31612          1        31612.0        31612.0        31612        31612          0.0  PushPop  NCCL:ncclAllGather         
      0.0            20129          4         5032.3         2054.0         1443        14578       6370.9  PushPop  NCCL:ncclBroadcast         
      0.0              712          1          712.0          712.0          712          712          0.0  PushPop  NCCL:ncclGroupStart        

Processing [D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.3.1\host-windows-x64\reports\osrt_sum.py]... 
SKIPPED: D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.sqlite does not contain OS Runtime trace data.

Processing [D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.3.1\host-windows-x64\reports\cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                      Name                     
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ---------------------------------------------
     63.8        990899314     147103     6736.1     5341.0      3126  18976332      90177.2  cudaLaunchKernel                             
     16.1        250184534      25353     9868.0     5771.0      2525    951483      17162.9  cudaMemcpyAsync                              
      7.7        119147263       8479    14052.0     7515.0      2174    132327      12118.0  cudaStreamSynchronize                        
      3.8         59576042         98   607918.8    55597.5     52131   3625523     674001.0  cuMemUnmap                                   
      1.8         28086106        196   143296.5    12123.5       120   4239784     374234.4  cuMemRelease                                 
      1.4         21494660          4  5373665.0   614791.0     25269  20239809    9926051.7  cudaHostAlloc                                
      0.6          8555723         98    87303.3    80831.5     77039    486733      41691.6  cuMemSetAccess                               
      0.5          8425799       6490     1298.3     1022.0       490     21602        840.6  cudaEventRecord                              
      0.5          8052447          4  2013111.8   663194.0      2114   6723945    3201695.1  cudaFree                                     
      0.5          7899194          4  1974798.5  1974480.5   1969636   1980597       5258.1  cudaGetDeviceProperties_v2_v12000            
      0.5          7624663       8411      906.5      872.0       571     14118        468.1  cudaStreamIsCapturing_v10000                 
      0.4          6849970          3  2283323.3    33204.0     11793   6804973    3915878.1  cudaFreeHost                                 
      0.4          6765034       4261     1587.7     1312.0       360    137767       5830.0  cudaEventCreateWithFlags                     
      0.4          6259033       4252     1472.0     1482.0       801     14828        571.6  cudaStreamWaitEvent                          
      0.3          4437305         98    45278.6    44992.5     27704    226479      20593.7  cuMemCreate                                  
      0.3          4067856       2117     1921.5     1593.0      1062     17343       1301.2  cudaEventQuery                               
      0.3          4000388       4222      947.5      821.0       350    681841      10510.0  cudaEventDestroy                             
      0.2          2903590        128    22684.3     2224.0      1944    949330     116276.8  cudaStreamCreateWithPriority                 
      0.1          2102396         98    21453.0    18270.5     17625     46119       6243.2  cuMemMap                                     
      0.1          1257516         10   125751.6   120383.0      4028    310872     103905.9  cudaMalloc                                   
      0.1          1080544          8   135068.0     1913.5       641   1068039     376977.9  cudaOccupancyMaxActiveBlocksPerMultiprocessor
      0.0           558894         97     5761.8     5310.0      4779     22023       2408.2  cudaMemsetAsync                              
      0.0           506673        240     2111.1     1683.5      1242     10510       1322.1  cudaEventSynchronize                         
      0.0           415566         98     4240.5     1733.0      1322     48363       7039.5  cuMemAddressReserve                          
      0.0           268783        528      509.1      436.5       271      6663        426.5  cudaThreadExchangeStreamCaptureMode_v10010   
      0.0           215708        766      281.6      251.0       120      2445        176.2  cuGetProcAddress_v2                          
      0.0           163484         98     1668.2     1348.0       932     11462       1404.8  cuMemAddressFree                             
      0.0            70401         98      718.4      576.0       320      6032        606.4  cuMemRetainAllocationHandle                  
      0.0            31561         98      322.1      230.5       180      6733        657.1  cuMemGetAllocationGranularity                
      0.0            14268          2     7134.0     7134.0      2936     11332       5936.9  cudaStreamCreateWithFlags                    
      0.0            14267          2     7133.5     7133.5      4689      9578       3457.0  cudaStreamDestroy                            
      0.0            13877          1    13877.0    13877.0     13877     13877          0.0  cudaDeviceSynchronize                        
      0.0            13434         29      463.2      440.0       291       832        133.6  cuGetProcAddress                             
      0.0             4249          3     1416.3     1563.0      1062      1624        308.4  cuInit                                       
      0.0             1793          3      597.7      201.0       170      1422        714.1  cuModuleGetLoadingMode                       

Processing [D:\Summer_condition_monitoring\summer pnnl utep\ddp_mp_1024\fl_ddp_profile_1024.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.3.1\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     11.6         52585637      18900    2782.3    2400.0      2048      4256        734.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator 
     11.0         49591042      16800    2951.8    2464.5      2175      6176        785.4  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator 
      6.3         28492918       4200    6784.0    6752.0      6048      7551        216.9  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_w 
      4.8         21852738       2100   10406.1   10911.0      7423     10976       1182.4  void cutlass::Kernel<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nt_align1>(T1::Params)
